"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2004/05","S08000019","Total","d",1700,1720,1410,1190,"280"," "
"2004/05","S08000019","SMR01"," ",320,320,290,270," ",":"
"2004/05","S08000019","SMR04"," ",1390,1400,1120,950,"280"," "
"2004/05","S08000020","Total","d",2950,2960,2650,2140,"480"," "
"2004/05","S08000020","SMR01"," ",770,780,740,660," ",":"
"2004/05","S08000020","SMR04"," ",2180,2180,1910,1530,"480"," "
"2004/05","S08000031","Total","d",9490,9590,8340,6710,"1470"," "
"2004/05","S08000031","SMR01"," ",2770,2780,2280,2060," ",":"
"2004/05","S08000031","SMR04"," ",6720,6810,6070,4860,"1470"," "
"2004/05","S08000022","Total","d",2700,2700,2500,1850,"300"," "
"2004/05","S08000022","SMR01"," ",1030,1040,900,740," ",":"
"2004/05","S08000022","SMR04"," ",1660,1660,1600,1240,"300"," "
"2004/05","S08000032","Total","d",3900,3950,3360,2690,"520"," "
"2004/05","S08000032","SMR01"," ",1040,1040,790,680," ",":"
"2004/05","S08000032","SMR04"," ",2860,2910,2570,2100,"520"," "
"2004/05","S08000024","Total","d",6100,6190,5250,4030,"800"," "
"2004/05","S08000024","SMR01"," ",1340,1350,1080,1010," ",":"
"2004/05","S08000024","SMR04"," ",4760,4840,4170,3150,"800"," "
"2004/05","S08000025","Total","d",80,80,80,60,"0"," "
"2004/05","S08000025","SMR01"," ",80,80,80,60," ",":"
"2004/05","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2004/05","S08000026","Total","d",70,70,70,60,"0"," "
"2004/05","S08000026","SMR01"," ",70,70,70,60," ",":"
"2004/05","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2004/05","S08000030","Total","d",2630,2690,2360,1970,"420"," "
"2004/05","S08000030","SMR01"," ",500,480,460,430," ",":"
"2004/05","S08000030","SMR04"," ",2130,2210,1900,1600,"420"," "
"2004/05","S08000028","Total","d",350,350,340,240,"40"," "
"2004/05","S08000028","SMR01"," ",190,190,190,150," ",":"
"2004/05","S08000028","SMR04"," ",160,160,150,100,"40"," "
"2004/05","SB0802","Total","d",310,310,20,170,"230"," "
"2004/05","SB0802","SMR01"," ",0,0,0,0," ",":"
"2004/05","SB0802","SMR04"," ",310,310,20,170,"230"," "
"2005/06","S08000015","Total","d",2730,2750,2510,1930,"340"," "
"2005/06","S08000015","SMR01"," ",800,800,760,640," ",":"
"2005/06","S08000015","SMR04"," ",1930,1950,1760,1370,"340"," "
"2005/06","S08000016","Total","d",920,920,800,610,"110"," "
"2005/06","S08000016","SMR01"," ",300,300,250,220," ",":"
"2005/06","S08000016","SMR04"," ",630,630,550,420,"110"," "
"2005/06","S08000017","Total","d",900,890,800,650,"150"," "
"2005/06","S08000017","SMR01"," ",200,200,170,160," ",":"
"2005/06","S08000017","SMR04"," ",700,680,630,510,"150"," "
"2005/06","S08000029","Total","d",2060,2090,1810,1450,"320"," "
"2005/06","S08000029","SMR01"," ",290,290,230,220," ",":"
"2005/06","S08000029","SMR04"," ",1770,1800,1580,1250,"320"," "
"2005/06","S08000019","Total","d",1520,1550,1230,1060,"250"," "
"2005/06","S08000019","SMR01"," ",270,270,230,220," ",":"
"2005/06","S08000019","SMR04"," ",1260,1280,990,850,"250"," "
"2005/06","S08000020","Total","d",2670,2710,2420,2020,"440"," "
"2005/06","S08000020","SMR01"," ",730,720,660,580," ",":"
"2005/06","S08000020","SMR04"," ",1940,1990,1770,1480,"440"," "
"2005/06","S08000031","Total","d",9580,9630,8350,6620,"1430"," "
"2005/06","S08000031","SMR01"," ",2910,2910,2340,2040," ",":"
"2005/06","S08000031","SMR04"," ",6680,6720,6010,4800,"1430"," "
"2005/06","S08000022","Total","d",2420,2450,2270,1740,"270"," "
